x,y,y_noise
-6.283185307179586,2.4492935982947064e-16,-0.4745936460063077
-6.156252270670907,0.12659245357374993,0.5091531570087573
-6.029319234162229,0.25114798718107934,0.3421102504608497
-5.90238619765355,0.3716624556603281,1.0433614212240736
-5.775453161144872,0.48619673610046876,0.8652980907003198
-5.648520124636193,0.5929079290546408,1.7233317527307148
-5.521587088127515,0.690079011482112,1.2627521158155275
-5.394654051618836,0.7761464642917572,0.7427322168040177
-5.267721015110158,0.8497254299495144,2.3971604147738215
-5.140787978601479,0.9096319953545186,0.5663326210058857
-5.013854942092801,0.9549022414440739,0.9664837945280681
-4.886921905584122,0.9848077530122081,-0.1750717608525414
-4.759988869075444,0.998867339183008,-1.0793833635927568
-4.6330558325667655,0.9968547759519423,0.7340488470178832
-4.5061227960580865,0.9788024462147785,1.291143677918987
-4.3791897595494085,0.9450008187146685,2.733649758109752
-4.25225672304073,0.895993774291336,-0.35788643643450113
-4.1253236865320515,0.8325698546347712,1.0478164133225096
-3.998390650023373,0.7557495743542582,2.061642997798663
-3.8714576135146945,0.6667690005162915,0.5736292386494862
-3.744524577006016,0.5670598638627706,-1.4686167824083665
-3.6175915404973376,0.4582265217274103,-0.6636901452560565
-3.490658503988659,0.34202014332566866,1.439481420861175
-3.3637254674799806,0.22031053278654059,0.7195234586433612
-3.2367924309713016,0.09505604330418219,0.049232805587441114
-3.109859394462623,-0.0317279334980681,-0.5357329085308936
-2.9829263579539447,-0.1580013959733503,-1.3517818542615647
-2.855993321445266,-0.28173255684143006,-0.7473887468841047
-2.7290602849365877,-0.400930535406614,-1.041329533660121
-2.602127248427909,-0.5136773915734066,-2.0192090644273044
-2.4751942119192307,-0.6181589862206055,-1.5529778821682338
-2.3482611754105522,-0.7126941713788632,-2.1049133999980323
-2.2213281389018737,-0.7957618405308323,-1.48517553991902
-2.094395102393195,-0.866025403784439,0.6011178674546407
-1.9674620658845168,-0.9223542941045815,-0.4395764240826479
-1.8405290293758378,-0.9638421585599423,-0.42170644396712864
-1.7135959928671598,-0.9898214418809328,-2.0116557538544177
-1.5866629563584809,-0.9998741276738751,-1.3884642878410876
-1.4597299198498028,-0.9938384644612541,-0.4924186427077736
-1.332796883341124,-0.9718115683235415,-0.11495282674404039
-1.2058638468324459,-0.9341478602651067,-2.5434205158613574
-1.078930810323767,-0.8814533634475819,-2.517843408443918
-0.9519977738150889,-0.8145759520503357,-0.9889647586962114
-0.82506473730641,-0.734591708657533,-0.28986691997698805
-0.6981317007977319,-0.6427876096865394,-0.7847701443097879
-0.571198664289053,-0.5406408174555973,-2.0034198490368627
-0.4442656277803749,-0.4297949120891717,1.0537048424948208
-0.317332591271696,-0.31203344569848684,-1.2030178267499108
-0.19039955476301706,-0.18925124436040952,-0.9269400887138597
-0.06346651825433902,-0.06342391965656427,0.6764005187118023
0.06346651825433991,0.06342391965656516,-1.1943874606278935
0.19039955476301795,0.18925124436041038,0.7450105957142134
0.3173325912716969,0.3120334456984877,-0.2726659468188426
0.4442656277803749,0.4297949120891717,0.24891132721629286
0.5711986642890539,0.540640817455598,0.49560878306846035
0.6981317007977319,0.6427876096865394,0.2780785555662991
0.8250647373064108,0.7345917086575335,0.5076784472813265
0.9519977738150889,0.8145759520503357,1.9092843552331724
1.0789308103237678,0.8814533634475823,0.21336241867148198
1.2058638468324459,0.9341478602651067,-0.09972230826062878
1.3327968833411248,0.9718115683235418,3.1157816186023473
1.4597299198498028,0.9938384644612541,1.4073040020758874
1.5866629563584818,0.9998741276738751,1.4940948743354894
1.7135959928671598,0.9898214418809328,0.2987298212991987
1.8405290293758387,0.963842158559942,0.7725841367408862
1.9674620658845168,0.9223542941045815,1.8635859463787967
2.0943951023931966,0.8660254037844382,2.082041699047053
2.2213281389018746,0.7957618405308318,1.2782503668606853
